region,Voted,Not Voted,ANO 2011,"Koalice Spolu (ODS, TOP 09, KDU-ČSL)",Koalice PIRÁTI a STAROSTOVÉ,Komunistická strana Čech a Moravy (KSČM),Svoboda a přímá demokracie – Tomio Okamura (SPD),Česká strana sociálně demokratická (ČSSD),"Trikolóra, Svobodní a Soukromníci",Přísaha Roberta Šlachty,Jiná strana
Česko,0.6543,0.3457,0.2712,0.2779,0.1562,0.036,0.0956,0.0465,0.0276,0.0468,0.0422
Hlavní město Praha,0.7015,0.2985,0.1746,0.4002,0.2264,0.0214,0.0459,0.04,0.0256,0.0341,0.0574
Středočeský kraj,0.6795,0.3205,0.2492,0.2874,0.1946,0.0348,0.0779,0.0456,0.0255,0.0458,0.0647
Jihočeský kraj,0.6634,0.3366,0.2665,0.2909,0.135,0.0445,0.0898,0.0545,0.034,0.0451,0.0737
Plzeňský kraj,0.6472,0.3528,0.2903,0.2657,0.1388,0.0414,0.0996,0.0499,0.025,0.0472,0.0671
Karlovarský kraj,0.571,0.429,0.3306,0.2022,0.1423,0.0341,0.1276,0.0378,0.0275,0.0494,0.076
Ústecký kraj,0.5765,0.4235,0.3561,0.1977,0.1399,0.0392,0.1187,0.0319,0.0305,0.0436,0.0729
Liberecký kraj,0.646,0.354,0.2686,0.2277,0.2137,0.0301,0.11,0.0348,0.0277,0.0429,0.0722
Královéhradecký kraj,0.6786,0.3214,0.2699,0.2858,0.1513,0.0344,0.0905,0.0493,0.0294,0.0473,0.0715
Pardubický kraj,0.6789,0.3211,0.2684,0.2852,0.1409,0.0381,0.0936,0.0505,0.0287,0.0495,0.0738
Kraj Vysočina,0.6893,0.3107,0.2673,0.28,0.1351,0.0467,0.0892,0.0655,0.0264,0.0523,0.0639
Jihomoravský kraj,0.6639,0.3361,0.2536,0.3003,0.1419,0.0365,0.0935,0.0441,0.0255,0.0604,0.0697
Olomoucký kraj,0.6469,0.3531,0.2977,0.2454,0.1235,0.0397,0.1224,0.0453,0.0304,0.0469,0.0791
Zlínský kraj,0.6743,0.3257,0.2698,0.2778,0.1344,0.0332,0.1138,0.0489,0.0331,0.0423,0.0798
Moravskoslezský kraj,0.6056,0.3944,0.3373,0.2064,0.1113,0.0399,0.1282,0.0542,0.0246,0.0486,0.0741
